Right Biceps brachii caput longus,Left Biceps brachii caput longus,Right Pectoralis Major,Left Pectoralis Major,
-0.3,-0.2,-0.5,-0.4,
-0.3,-0.2,-0.5,-0.4,
-0.3,-0.2,-0.4,-0.4,
-0.3,-0.2,-0.4,-0.3,
-0.3,-0.2,-0.4,-0.3,
-0.3,-0.2,-0.3,-0.3,
-0.3,-0.2,-0.3,-0.2,
-0.3,-0.2,-0.3,-0.2,
-0.3,-0.2,-0.2,-0.2,
-0.3,-0.2,-0.2,-0.1,
-0.3,-0.2,-0.2,-0.1,
-0.3,-0.2,-0.1,-0.0,
-0.3,-0.2,-0.1,0.0,
-0.3,-0.2,-0.0,0.1,
-0.2,-0.2,0.0,0.1,
-0.2,-0.2,0.0,0.2,
-0.2,-0.2,0.1,0.2,
-0.2,-0.1,0.1,0.2,
-0.1,-0.1,0.2,0.3,
-0.0,-0.1,0.2,0.3,
0.1,-0.1,0.3,0.4,
0.2,-0.0,0.3,0.4,
0.3,0.0,0.4,0.5,
0.5,0.1,0.5,0.6,
0.5,0.1,0.5,0.6,
0.6,0.2,0.6,0.7,
0.6,0.2,0.7,0.8,
0.6,0.3,0.7,0.9,
0.6,0.3,0.8,1.0,
0.6,0.4,0.9,1.0,
0.6,0.5,0.9,1.1,
0.5,0.5,1.0,1.2,
0.5,0.5,1.1,1.3,
0.5,0.6,1.1,1.4,
0.5,0.6,1.2,1.5,
0.5,0.6,1.3,1.6,
0.5,0.7,1.4,1.7,
0.6,0.7,1.5,1.8,
0.6,0.8,1.6,1.9,
0.6,0.9,1.7,2.0,
0.6,0.9,1.7,2.1,
0.7,1.0,1.8,2.2,
0.7,1.0,1.9,2.3,
0.7,1.1,2.0,2.4,
0.8,1.2,2.1,2.5,
0.8,1.2,2.2,2.6,
0.9,1.3,2.3,2.7,
0.9,1.4,2.4,2.8,
1.0,1.5,2.5,2.9,
4.6,-1.0,-1.6,2.3,
2.7,0.5,-5.3,-0.6,
-1.5,1.0,-13.2,-8.5,
-5.1,-0.9,-9.9,-9.4,
-2.5,-0.5,-6.9,-12.3,
0.5,4.6,-9.4,-5.4,
5.0,2.4,-8.4,-0.9,
6.7,4.4,-1.7,-9.6,
-1.3,1.5,-0.7,-10.5,
-4.7,5.3,-1.4,-11.3,
-5.7,5.8,2.4,3.3,
-2.7,1.0,7.0,13.7,
-3.5,1.7,-1.9,0.5,
-5.8,-0.1,4.7,-4.5,
-3.6,-3.7,3.6,3.4,
-5.4,-8.0,2.7,7.6,
-7.0,-6.2,1.8,6.4,
-15.0,-3.4,1.0,0.6,
-32.3,-1.8,5.1,6.0,
-54.6,-7.4,1.6,7.0,
-38.9,-8.1,-2.8,-6.2,
-19.3,-10.1,-1.0,-0.4,
-11.6,-15.8,-5.7,4.7,
9.1,-14.8,0.3,-6.1,
22.9,-3.8,9.2,-4.6,
35.4,7.1,3.4,-3.2,
46.6,5.7,-3.9,-8.9,
56.8,2.0,-0.9,-3.5,
43.3,5.5,-3.4,-8.2,
38.0,-6.1,7.1,-0.1,
33.2,11.2,11.2,1.0,
23.3,13.5,2.2,-1.9,
6.4,11.4,1.1,0.8,
-0.4,13.3,0.2,4.9,
-2.5,8.2,-2.6,-4.5,
-8.1,3.6,-5.2,-3.1,
-13.1,-0.5,-12.3,9.8,
-20.7,-4.3,2.3,-2.2,
-13.5,1.6,0.3,8.7,
-1.7,0.6,9.7,10.1,
-6.3,-2.3,1.1,-1.6,
-7.6,-1.4,-0.4,-0.1,
-6.2,-6.9,-4.5,1.3,
-7.1,-4.7,-3.1,0.1,
-14.4,-1.5,-15.9,1.2,
-13.2,0.3,-3.9,-10.4,
-12.2,-6.8,7.0,-5.7,
-12.9,-15.5,-2.8,4.1,
-7.7,-23.6,-1.5,5.4,
-8.3,-11.9,-5.0,1.9,
-1.6,-1.0,0.3,-5.5,
6.3,-2.5,1.3,-4.5,
7.4,9.1,-4.9,1.7,
6.4,19.8,-5.7,-2.3,
-1.4,18.2,5.2,-3.1,
6.0,-1.4,9.7,5.5,
14.7,-20.8,-5.9,6.5,
8.8,-13.3,-12.2,-3.1,
-5.0,-6.5,-29.1,-4.4,
-14.4,12.1,5.3,-7.9,
-22.8,24.5,0.4,3.8,
-8.5,22.1,4.8,-0.9,
1.0,15.6,0.6,0.4,
2.7,6.1,-3.1,1.7,
-2.0,-2.6,-6.5,-1.8,
-0.6,-16.7,-3.5,-5.0,
3.2,-29.8,-0.8,-4.0,
-7.3,-24.6,1.6,3.8,
-0.3,-10.5,8.3,0.7,
6.2,-1.1,2.0,-0.4,
-2.0,3.9,7.5,0.5,
-9.2,5.3,-1.2,-0.4,
-13.9,9.3,-9.0,-2.6,
-18.0,7.8,3.8,-3.3,
-12.1,-3.0,5.4,-6.3,
-18.4,-13.0,-5.6,-0.4,
-15.5,-19.5,1.4,2.0,
-3.3,-20.7,-2.5,-6.1,
12.3,-23.9,10.3,3.5,
14.4,-26.8,15.3,2.1,
35.1,-22.4,-8.3,0.9,
48.7,-12.0,-4.9,-2.2,
50.8,0.7,4.1,-3.2,
39.1,5.7,1.3,1.1,
15.9,10.2,-1.2,-2.9,
0.4,11.4,-3.5,0.6,
-2.4,12.6,-1.4,-2.7,
-4.9,15.9,8.0,1.4,
-7.3,23.1,6.2,0.9,
-5.3,20.0,1.5,8.3,
-22.3,22.5,5.6,0.8,
-33.7,15.2,-0.9,-5.9,
-15.5,17.5,0.2,0.3,
-5.1,22.1,3.6,6.4,
-7.0,22.9,0.5,8.7,
-5.4,15.6,-2.4,0.7,
2.2,12.7,0.2,-0.4,
6.3,11.8,2.6,2.5,
4.9,12.6,-2.4,3.3,
1.3,8.9,-1.8,2.5,
0.2,7.1,-1.2,1.8,
-10.4,5.4,6.9,-1.5,
-17.4,5.0,10.4,-2.0,
-10.9,-2.4,0.8,5.1,
-0.3,-3.3,-5.6,6.0,
9.5,-4.1,12.0,3.4,
18.5,-3.0,9.6,7.4,
7.8,-14.9,2.8,6.7,
-7.8,-23.2,9.1,6.1,
-14.1,-27.6,7.3,9.1,
-4.6,-31.5,5.7,6.5,
10.9,-27.3,1.1,2.1,
12.9,-21.2,-0.2,2.7,
18.4,-11.3,1.2,2.3,
13.2,-9.8,-16.3,1.8,
11.6,-13.0,1.4,-4.7,
7.4,-7.6,-0.7,-3.7,
-12.1,3.3,9.8,-2.7,
-31.4,10.4,-3.4,-5.0,
-23.8,22.3,-11.8,-1.3,
-44.3,42.7,-13.2,-4.5,
-52.3,40.0,5.4,-6.1,
-59.6,37.6,3.0,-6.5,
-38.7,44.5,0.9,-1.9,
-8.0,34.2,-1.1,-1.3,
-3.8,32.4,-2.8,2.5,
-0.1,23.9,2.4,-2.8,
16.7,10.0,0.9,2.3,
38.0,-10.7,-3.2,4.3,
62.9,-18.7,3.4,2.6,
59.3,-15.9,0.1,3.2,
43.9,-17.9,-5.2,6.7,
35.5,-15.7,-6.0,2.8,
17.9,-21.1,-1.5,3.3,
20.1,-19.3,5.8,-0.0,
18.0,-17.6,-6.7,6.7,
16.1,-18.9,5.4,9.7,
17.7,-14.9,3.9,3.6,
6.7,-11.4,-3.1,-0.3,
-3.2,-10.3,-12.0,-1.0,
5.8,-15.1,-6.1,9.0,
6.8,-14.2,10.0,2.1,
5.8,-13.5,3.2,-14.8,
6.7,-11.4,1.2,-7.9,
9.4,-8.1,3.1,-1.5,
7.0,-5.2,-5.5,-7.1,
-3.9,-5.8,-7.0,-1.9,
-17.9,-6.4,5.9,-3.3,
-15.9,-6.9,-2.7,-4.6,
-24.4,-4.2,-10.4,-3.3,
-29.0,-9.8,-6.2,-11.4,
-33.1,-15.5,-7.5,-10.3,
-39.6,-7.6,-1.6,-13.2,
-21.9,-4.6,1.5,0.1,
-4.2,-3.8,-7.2,-9.3,
7.3,-3.0,-8.3,2.7,
9.4,0.9,-1.0,-1.9,
-0.1,7.3,-0.0,-14.7,
-12.1,2.8,-0.9,-6.1,
-7.5,3.4,3.1,-1.5,
-3.3,2.5,5.2,5.6,
0.5,-2.2,4.5,14.7,
-2.9,-0.6,1.5,6.5,
0.3,0.8,2.9,-0.9,
-0.7,2.0,-0.6,5.8,
3.7,5.9,6.0,1.3,
3.0,3.0,6.9,2.1,
2.3,-2.6,5.9,7.1,
-1.0,-9.4,0.2,1.1,
-10.0,-14.0,-0.5,5.1,
-13.8,-15.0,0.0,10.1,
-5.7,-17.3,2.9,6.8,
-0.4,-16.9,-3.1,1.4,
-1.4,-8.0,2.5,0.6,
-0.5,-6.9,9.0,1.2,
8.4,-1.3,2.7,6.6,
5.0,6.0,1.8,4.3,
6.2,12.5,2.5,3.6,
7.2,16.8,1.7,5.4,
3.0,27.0,1.1,1.6,
-2.5,45.4,-1.7,0.1,
-6.0,52.8,-3.2,0.4,
-5.3,59.5,-8.2,-5.0,
-4.6,53.1,-18.2,-7.2,
3.6,35.9,-5.5,-14.5,
16.6,24.3,13.4,-13.7,
25.2,9.7,-9.5,-2.3,
29.9,4.0,-12.8,-7.2,
25.8,-1.1,-10.2,-8.7,
29.7,-5.8,-7.9,-10.2,
12.1,-7.1,-1.3,-4.6,
9.6,-8.4,-3.6,-5.9,
-11.1,-4.9,-5.7,0.5,
-20.9,-9.5,1.9,-3.4,
-29.2,-10.4,0.0,-4.6,
-36.8,-13.2,4.5,-2.5,
-34.6,-14.0,2.8,2.2,
-15.8,-13.1,-1.3,2.5,
-8.3,-13.8,-0.4,1.5,
-1.5,-23.5,-3.9,1.5,
8.9,-22.1,-1.3,8.5,
14.4,-25.8,-2.5,2.7,
30.0,-19.8,-0.4,-8.6,
32.1,-14.4,2.8,-2.2,
26.5,-20.9,0.6,-6.7,
21.5,-18.1,6.8,-10.9,
16.9,-7.5,-1.5,4.4,
18.4,-3.1,-2.9,6.0,
4.2,1.0,5.5,-13.6,
-9.0,7.1,4.1,-11.7,
-7.2,12.6,-3.6,-0.9,
-2.4,23.6,-1.0,-7.7,
4.7,33.8,-0.4,-10.2,
-1.8,32.8,-3.0,-5.6,
-9.9,29.6,-5.3,-7.6,
-13.0,28.9,-10.0,-9.3,
-19.8,28.2,-5.9,-11.0,
-18.9,24.1,-7.5,-17.1,
-6.8,15.5,-14.9,-14.1,
8.7,5.1,-7.5,-17.0,
6.6,4.0,-6.5,-21.4,
4.7,-2.4,-5.5,-17.3,
3.0,-5.7,-9.3,-7.7,
