Frame,Time,Right Biceps brachii caput longus,Left Biceps brachii caput longus,Right Pectoralis Major,Left Pectoralis Major
0,0.000,-0.3,-0.2,-0.5,-0.4
1,0.001,-0.3,-0.2,-0.5,-0.4
2,0.002,-0.3,-0.2,-0.4,-0.4
3,0.003,-0.3,-0.2,-0.4,-0.3
4,0.004,-0.3,-0.2,-0.4,-0.3
5,0.005,-0.3,-0.2,-0.3,-0.3
6,0.006,-0.3,-0.2,-0.3,-0.2
7,0.007,-0.3,-0.2,-0.3,-0.2
8,0.008,-0.3,-0.2,-0.2,-0.2
9,0.009,-0.3,-0.2,-0.2,-0.1
10,0.010,-0.3,-0.2,-0.2,-0.1
11,0.011,-0.3,-0.2,-0.1,-0.0
12,0.012,-0.3,-0.2,-0.1,0.0
13,0.013,-0.3,-0.2,-0.0,0.1
14,0.014,-0.2,-0.2,0.0,0.1
15,0.015,-0.2,-0.2,0.0,0.2
16,0.016,-0.2,-0.2,0.1,0.2
17,0.017,-0.2,-0.1,0.1,0.2
18,0.018,-0.1,-0.1,0.2,0.3
19,0.019,-0.0,-0.1,0.2,0.3
20,0.020,0.1,-0.1,0.3,0.4
21,0.021,0.2,-0.0,0.3,0.4
22,0.022,0.3,0.0,0.4,0.5
23,0.023,0.5,0.1,0.5,0.6
24,0.024,0.5,0.1,0.5,0.6
25,0.025,0.6,0.2,0.6,0.7
26,0.026,0.6,0.2,0.7,0.8
27,0.027,0.6,0.3,0.7,0.9
28,0.028,0.6,0.3,0.8,1.0
29,0.029,0.6,0.4,0.9,1.0
30,0.030,0.6,0.5,0.9,1.1
31,0.031,0.5,0.5,1.0,1.2
32,0.032,0.5,0.5,1.1,1.3
33,0.033,0.5,0.6,1.1,1.4
34,0.034,0.5,0.6,1.2,1.5
35,0.035,0.5,0.6,1.3,1.6
36,0.036,0.5,0.7,1.4,1.7
37,0.037,0.6,0.7,1.5,1.8
38,0.038,0.6,0.8,1.6,1.9
39,0.039,0.6,0.9,1.7,2.0
40,0.040,0.6,0.9,1.7,2.1
41,0.041,0.7,1.0,1.8,2.2
42,0.042,0.7,1.0,1.9,2.3
43,0.043,0.7,1.1,2.0,2.4
44,0.044,0.8,1.2,2.1,2.5
45,0.045,0.8,1.2,2.2,2.6
46,0.046,0.9,1.3,2.3,2.7
47,0.047,0.9,1.4,2.4,2.8
48,0.048,1.0,1.5,2.5,2.9
49,0.049,4.6,-1.0,-1.6,2.3
50,0.050,2.7,0.5,-5.3,-0.6
51,0.051,-1.5,1.0,-13.2,-8.5
52,0.052,-5.1,-0.9,-9.9,-9.4
53,0.053,-2.5,-0.5,-6.9,-12.3
54,0.054,0.5,4.6,-9.4,-5.4
